fight,final_round,ko여부,winner_sig_str_succ,winner_sig_str_att,loser_sig_str_succ,loser_sig_str_att,winner_total_str_succ,winner_total_str_att,loser_total_str_succ,loser_total_str_att,winner_td_attempt_succ,winner_td_attempt_att,loser_td_attempt_succ,loser_td_attempt_att,winner_head_succ,winner_head_att,loser_head_succ,loser_head_att,winner_body_succ,winner_body_att,loser_body_succ,loser_body_att,winner_leg_succ,winner_leg_att,loser_leg_succ,loser_leg_att,winner_distance_succ,winner_distance_att,loser_distance_succ,loser_distance_att,winner_clinch_succ,winner_clinch_att,loser_clinch_succ,loser_clinch_att,winner_ground_succ,winner_ground_att,loser_ground_succ,loser_ground_att,winner_kd,loser_kd,winner_sig_str_pct,loser_sig_str_pct,winner_td_pct,loser_td_pct,winner_sub_att,loser_sub_att,winner_rev,loser_rev,winner_ctrl_sec,loser_ctrl_sec
fight221,2,1,20.0,52.0,6.0,22.0,20.0,52.0,7.0,23.0,0.0,0.0,0.0,0.0,6.0,33.0,2.0,13.0,5.0,6.0,1.0,4.0,9.0,13.0,3.0,5.0,20.0,49.0,5.0,20.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
fight234,2,1,28.0,44.0,10.0,25.0,31.0,47.0,14.0,29.0,1.0,1.0,0.0,3.0,8.0,21.0,3.0,16.0,3.0,4.0,4.0,6.0,17.0,19.0,3.0,3.0,28.0,44.0,9.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,63.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,24.0,19.0
fight239,2,1,21.0,48.0,19.0,39.0,24.0,54.0,20.0,40.0,0.0,2.0,0.0,0.0,14.0,39.0,16.0,32.0,3.0,4.0,1.0,4.0,4.0,5.0,2.0,3.0,7.0,18.0,8.0,20.0,3.0,4.0,0.0,1.0,11.0,26.0,11.0,18.0,0.0,1.0,43.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,119.0
fight247,2,1,10.0,21.0,14.0,27.0,11.0,22.0,14.0,27.0,0.0,0.0,0.0,5.0,5.0,15.0,4.0,15.0,5.0,6.0,7.0,9.0,0.0,0.0,3.0,3.0,9.0,20.0,13.0,26.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0
fight248,2,1,16.0,26.0,11.0,21.0,66.0,79.0,14.0,25.0,1.0,1.0,0.0,3.0,11.0,18.0,7.0,16.0,4.0,7.0,2.0,3.0,1.0,1.0,2.0,2.0,5.0,10.0,7.0,12.0,5.0,8.0,4.0,9.0,6.0,8.0,0.0,0.0,0.0,0.0,61.0,52.0,100.0,0.0,0.0,0.0,0.0,0.0,180.0,49.0
fight250,2,1,31.0,78.0,32.0,59.0,31.0,78.0,32.0,59.0,0.0,0.0,0.0,0.0,16.0,60.0,8.0,26.0,4.0,7.0,19.0,28.0,11.0,11.0,5.0,5.0,31.0,78.0,32.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fight251,2,1,3.0,5.0,4.0,10.0,5.0,7.0,18.0,25.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,6.0,3.0,3.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,82.0,129.0
fight253,2,1,15.0,58.0,18.0,82.0,15.0,58.0,18.0,82.0,0.0,0.0,0.0,1.0,10.0,48.0,10.0,68.0,4.0,8.0,7.0,12.0,1.0,2.0,1.0,2.0,15.0,58.0,17.0,81.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fight255,2,1,21.0,52.0,21.0,81.0,21.0,52.0,22.0,82.0,0.0,0.0,1.0,3.0,21.0,51.0,13.0,67.0,0.0,1.0,3.0,7.0,0.0,0.0,5.0,7.0,21.0,51.0,21.0,81.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,33.0,0.0,0.0,0.0,0.0,8.0,14.0
fight256,2,1,29.0,51.0,8.0,34.0,29.0,51.0,8.0,34.0,2.0,2.0,0.0,0.0,18.0,36.0,5.0,29.0,5.0,6.0,0.0,0.0,6.0,9.0,3.0,5.0,26.0,42.0,8.0,32.0,1.0,3.0,0.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,56.0,23.0,100.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
fight107,3,1,32.5,48.5,16.0,39.0,47.5,64.5,25.0,50.5,2.0,3.0,0.0,0.0,26.0,42.0,6.0,25.0,3.0,3.0,3.0,6.0,3.5,3.5,7.0,8.0,18.0,29.5,13.5,35.5,0.5,0.5,1.5,2.5,14.0,18.5,1.0,1.0,0.5,0.0,66.5,42.0,80.0,0.0,0.0,0.0,0.0,0.5,180.5,2.0
fight109,3,1,21.0,60.0,35.5,78.5,22.0,61.0,40.0,84.5,0.0,3.5,0.0,0.0,18.5,55.0,15.5,52.5,0.0,1.0,7.0,10.5,2.5,4.0,13.0,15.5,21.0,60.0,34.5,76.5,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,45.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0
