fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight251,2,"[0, 0]","[[2, 4], [5, 9]]","[50.0, 55.0]","[[4, 6], [10, 17]]","[[0, 0], [1, 2]]","[0.0, 50.0]","[0, 1]","[0, 0]","[0, 90]","[[1, 3], [4, 7]]","[[1, 1], [0, 0]]","[[0, 0], [1, 2]]","[[1, 3], [2, 3]]","[[1, 1], [0, 0]]","[[0, 0], [3, 6]]",,Submission
fight285,1,"[0, 0]","[[31, 61], [12, 41]]","[50.0, 29.0]","[[40, 72], [12, 41]]","[[2, 4], [0, 0]]","[50.0, 0.0]","[0, 0]","[0, 0]","[92, 0]","[[20, 47], [5, 28]]","[[4, 6], [6, 12]]","[[7, 8], [1, 1]]","[[24, 53], [10, 39]]","[[4, 5], [2, 2]]","[[3, 3], [0, 0]]",,Submission
fight285,2,"[0, 0]","[[18, 26], [1, 3]]","[69.0, 33.0]","[[41, 50], [5, 8]]","[[1, 2], [0, 0]]","[50.0, 0.0]","[1, 0]","[0, 0]","[234, 0]","[[16, 24], [0, 1]]","[[0, 0], [0, 1]]","[[2, 2], [1, 1]]","[[4, 9], [1, 3]]","[[0, 0], [0, 0]]","[[14, 17], [0, 0]]",,Submission
fight288,1,"[0, 0]","[[7, 10], [7, 16]]","[70.0, 43.0]","[[9, 12], [8, 17]]","[[0, 1], [1, 3]]","[0.0, 33.0]","[0, 0]","[0, 0]","[72, 152]","[[2, 5], [2, 11]]","[[4, 4], [3, 3]]","[[1, 1], [2, 2]]","[[2, 5], [2, 11]]","[[5, 5], [3, 3]]","[[0, 0], [2, 2]]",,Submission
fight288,2,"[0, 0]","[[7, 9], [1, 3]]","[77.0, 33.0]","[[9, 11], [2, 6]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 0]","[61, 118]","[[7, 9], [1, 3]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]","[[0, 1], [0, 0]]","[[0, 0], [0, 0]]","[[7, 8], [1, 3]]",,Submission
fight293,1,"[0, 0]","[[24, 49], [28, 55]]","[48.0, 50.0]","[[24, 49], [34, 62]]","[[0, 3], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[73, 38]","[[11, 33], [16, 43]]","[[10, 12], [7, 7]]","[[3, 4], [5, 5]]","[[17, 38], [16, 42]]","[[7, 11], [12, 13]]","[[0, 0], [0, 0]]",,Submission
fight293,2,"[0, 0]","[[13, 16], [3, 3]]","[81.0, 100.0]","[[17, 20], [4, 4]]","[[2, 2], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 0]","[245, 25]","[[11, 14], [1, 1]]","[[2, 2], [2, 2]]","[[0, 0], [0, 0]]","[[0, 1], [1, 1]]","[[3, 3], [2, 2]]","[[10, 12], [0, 0]]",,Submission
fight300,1,"[0, 1]","[[15, 38], [22, 43]]","[39.0, 51.0]","[[18, 41], [27, 49]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[0, 0]","[0, 0]","[8, 35]","[[10, 24], [14, 32]]","[[3, 11], [4, 6]]","[[2, 3], [4, 5]]","[[15, 36], [19, 37]]","[[0, 2], [0, 0]]","[[0, 0], [3, 6]]",,Submission
fight300,2,"[0, 0]","[[13, 20], [4, 10]]","[65.0, 40.0]","[[13, 20], [4, 10]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[1, 0]","[0, 0]","[4, 0]","[[11, 18], [2, 8]]","[[1, 1], [2, 2]]","[[1, 1], [0, 0]]","[[6, 9], [4, 10]]","[[7, 11], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight318,1,"[0, 0]","[[12, 29], [12, 47]]","[41.0, 25.0]","[[12, 29], [13, 48]]","[[1, 3], [0, 0]]","[33.0, 0.0]","[0, 0]","[0, 0]","[41, 8]","[[6, 17], [7, 39]]","[[2, 5], [3, 5]]","[[4, 7], [2, 3]]","[[11, 27], [10, 44]]","[[1, 2], [1, 2]]","[[0, 0], [1, 1]]",,Submission
fight318,2,"[0, 0]","[[16, 31], [6, 33]]","[51.0, 18.0]","[[16, 31], [7, 34]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 0]","[39, 0]","[[7, 18], [6, 26]]","[[5, 9], [0, 7]]","[[4, 4], [0, 0]]","[[14, 28], [6, 32]]","[[0, 1], [0, 1]]","[[2, 2], [0, 0]]",,Submission
fight328,1,"[0, 0]","[[11, 24], [7, 17]]","[45.0, 41.0]","[[17, 32], [11, 21]]","[[2, 6], [0, 0]]","[33.0, 0.0]","[0, 0]","[0, 0]","[130, 57]","[[4, 17], [2, 10]]","[[6, 6], [3, 4]]","[[1, 1], [2, 3]]","[[7, 19], [5, 14]]","[[3, 3], [1, 1]]","[[1, 2], [1, 2]]",,Submission
fight328,2,"[0, 0]","[[1, 2], [2, 5]]","[50.0, 40.0]","[[2, 3], [2, 5]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 2]","[0, 0]","[29, 6]","[[0, 0], [1, 3]]","[[1, 1], [1, 2]]","[[0, 1], [0, 0]]","[[1, 2], [2, 5]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight334,1,"[0, 0]","[[8, 17], [3, 12]]","[47.0, 25.0]","[[20, 34], [12, 22]]","[[4, 5], [0, 0]]","[80.0, 0.0]","[1, 0]","[0, 0]","[246, 0]","[[7, 16], [3, 12]]","[[1, 1], [0, 0]]","[[0, 0], [0, 0]]","[[4, 9], [2, 10]]","[[2, 5], [1, 2]]","[[2, 3], [0, 0]]",,Submission
fight334,2,"[0, 0]","[[5, 9], [4, 10]]","[55.0, 40.0]","[[10, 14], [23, 29]]","[[3, 4], [0, 0]]","[75.0, 0.0]","[1, 0]","[0, 0]","[225, 0]","[[4, 8], [3, 9]]","[[0, 0], [0, 0]]","[[1, 1], [1, 1]]","[[1, 4], [1, 7]]","[[0, 0], [3, 3]]","[[4, 5], [0, 0]]",,Submission
fight356,1,"[0, 0]","[[23, 52], [26, 43]]","[44.0, 60.0]","[[28, 57], [26, 43]]","[[0, 1], [1, 3]]","[0.0, 33.0]","[0, 1]","[0, 0]","[46, 33]","[[11, 36], [19, 35]]","[[3, 5], [2, 2]]","[[9, 11], [5, 6]]","[[15, 43], [22, 39]]","[[8, 9], [4, 4]]","[[0, 0], [0, 0]]",,Submission
fight356,2,"[0, 0]","[[11, 30], [23, 35]]","[36.0, 65.0]","[[12, 31], [23, 35]]","[[0, 1], [1, 1]]","[0.0, 100.0]","[1, 0]","[1, 0]","[0, 12]","[[4, 22], [23, 35]]","[[4, 4], [0, 0]]","[[3, 4], [0, 0]]","[[10, 28], [20, 31]]","[[1, 2], [3, 4]]","[[0, 0], [0, 0]]",,Submission
fight365,1,"[1, 0]","[[19, 48], [19, 37]]","[39.0, 51.0]","[[25, 55], [22, 42]]","[[3, 5], [0, 0]]","[60.0, 0.0]","[0, 0]","[0, 0]","[227, 0]","[[19, 47], [15, 32]]","[[0, 1], [4, 5]]","[[0, 0], [0, 0]]","[[11, 27], [13, 30]]","[[1, 6], [5, 5]]","[[7, 15], [1, 2]]",,Submission
fight365,2,"[0, 0]","[[1, 8], [3, 6]]","[12.0, 50.0]","[[9, 18], [5, 8]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 0]","[121, 0]","[[0, 6], [2, 4]]","[[1, 2], [1, 2]]","[[0, 0], [0, 0]]","[[1, 7], [3, 6]]","[[0, 0], [0, 0]]","[[0, 1], [0, 0]]",,Submission
fight380,1,"[0, 0]","[[17, 55], [29, 75]]","[30.0, 38.0]","[[17, 55], [29, 75]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]","[[9, 44], [19, 62]]","[[7, 9], [5, 8]]","[[1, 2], [5, 5]]","[[17, 55], [28, 74]]","[[0, 0], [1, 1]]","[[0, 0], [0, 0]]",,Could Not Continue
