fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight164,1,"[0, 0]","[[3, 4], [1, 3]]","[75.0, 33.0]","[[4, 6], [11, 13]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[0, 2]","[1, 0]","[70, 14]","[[1, 2], [1, 2]]","[[0, 0], [0, 1]]","[[2, 2], [0, 0]]","[[2, 3], [0, 2]]","[[0, 0], [0, 0]]","[[1, 1], [1, 1]]",,Submission
fight169,1,"[0, 0]","[[3, 6], [7, 9]]","[50.0, 77.0]","[[5, 8], [16, 21]]","[[1, 2], [0, 0]]","[50.0, 0.0]","[1, 0]","[0, 0]","[53, 163]","[[1, 4], [5, 7]]","[[0, 0], [2, 2]]","[[2, 2], [0, 0]]","[[2, 4], [2, 4]]","[[0, 1], [2, 2]]","[[1, 1], [3, 3]]",,Submission
fight172,1,"[0, 0]","[[3, 4], [1, 1]]","[75.0, 100.0]","[[13, 16], [1, 1]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[1, 0]","[0, 0]","[123, 4]","[[2, 2], [0, 0]]","[[1, 2], [0, 0]]","[[0, 0], [1, 1]]","[[0, 1], [1, 1]]","[[0, 0], [0, 0]]","[[3, 3], [0, 0]]",,Submission
fight181,1,"[0, 0]","[[3, 13], [6, 11]]","[23.0, 54.0]","[[3, 13], [6, 11]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[0, 1]","[0, 0]","[3, 0]","[[0, 7], [3, 8]]","[[1, 3], [1, 1]]","[[2, 3], [2, 2]]","[[3, 13], [6, 11]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight183,1,"[0, 0]","[[2, 3], [4, 13]]","[66.0, 30.0]","[[13, 14], [19, 28]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[2, 0]","[0, 0]","[108, 0]","[[2, 3], [1, 10]]","[[0, 0], [0, 0]]","[[0, 0], [3, 3]]","[[2, 3], [4, 13]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight188,1,"[0, 0]","[[6, 11], [25, 47]]","[54.0, 53.0]","[[6, 11], [40, 68]]","[[0, 0], [1, 1]]","[0.0, 100.0]","[0, 1]","[0, 0]","[0, 144]","[[2, 6], [16, 36]]","[[0, 1], [8, 9]]","[[4, 4], [1, 2]]","[[6, 11], [16, 31]]","[[0, 0], [3, 3]]","[[0, 0], [6, 13]]",,Submission
fight194,1,"[0, 0]","[[0, 0], [1, 1]]","[0.0, 100.0]","[[2, 2], [1, 1]]","[[0, 0], [1, 2]]","[0.0, 50.0]","[0, 1]","[0, 0]","[3, 46]","[[0, 0], [1, 1]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]","[[0, 0], [1, 1]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight220,1,"[0, 0]","[[4, 6], [1, 1]]","[66.0, 100.0]","[[10, 13], [15, 16]]","[[0, 0], [1, 1]]","[0.0, 100.0]","[2, 0]","[0, 0]","[0, 117]","[[1, 3], [0, 0]]","[[0, 0], [0, 0]]","[[3, 3], [1, 1]]","[[3, 5], [1, 1]]","[[0, 0], [0, 0]]","[[1, 1], [0, 0]]",,Submission
fight225,1,"[0, 1]","[[2, 5], [5, 6]]","[40.0, 83.0]","[[2, 5], [5, 6]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[0, 1]","[0, 0]","[0, 15]","[[2, 4], [2, 2]]","[[0, 0], [1, 2]]","[[0, 1], [2, 2]]","[[2, 5], [4, 5]]","[[0, 0], [0, 0]]","[[0, 0], [1, 1]]",,Overturned
fight226,1,"[0, 0]","[[9, 14], [13, 20]]","[64.0, 65.0]","[[9, 14], [36, 43]]","[[0, 0], [0, 2]]","[0.0, 0.0]","[0, 1]","[0, 0]","[0, 157]","[[2, 5], [8, 15]]","[[4, 5], [2, 2]]","[[3, 4], [3, 3]]","[[6, 11], [9, 16]]","[[3, 3], [4, 4]]","[[0, 0], [0, 0]]",,Submission
fight231,1,"[0, 0]","[[14, 26], [18, 37]]","[53.0, 48.0]","[[14, 26], [18, 37]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[0, 1]","[0, 0]","[9, 0]","[[6, 16], [7, 24]]","[[4, 5], [3, 4]]","[[4, 5], [8, 9]]","[[14, 26], [18, 36]]","[[0, 0], [0, 1]]","[[0, 0], [0, 0]]",,Submission
fight242,1,"[0, 0]","[[1, 2], [1, 5]]","[50.0, 20.0]","[[4, 5], [1, 5]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 0]","[25, 0]","[[1, 2], [0, 4]]","[[0, 0], [0, 0]]","[[0, 0], [1, 1]]","[[1, 2], [1, 5]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight248,1,"[0, 0]","[[5, 9], [15, 29]]","[55.0, 51.0]","[[6, 10], [50, 64]]","[[0, 0], [1, 2]]","[0.0, 50.0]","[1, 0]","[0, 0]","[0, 187]","[[3, 6], [6, 14]]","[[0, 0], [5, 10]]","[[2, 3], [4, 5]]","[[4, 7], [9, 21]]","[[0, 1], [3, 5]]","[[1, 1], [3, 3]]",,DQ
fight257,1,"[0, 0]","[[3, 9], [13, 18]]","[33.0, 72.0]","[[3, 9], [14, 19]]","[[0, 0], [2, 2]]","[0.0, 100.0]","[0, 1]","[0, 0]","[0, 45]","[[1, 7], [8, 13]]","[[2, 2], [3, 3]]","[[0, 0], [2, 2]]","[[2, 8], [11, 16]]","[[1, 1], [2, 2]]","[[0, 0], [0, 0]]",,Submission
fight273,1,"[0, 0]","[[2, 8], [2, 5]]","[25.0, 40.0]","[[2, 8], [2, 5]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[1, 0]","[0, 0]","[0, 11]","[[1, 7], [1, 4]]","[[0, 0], [0, 0]]","[[1, 1], [1, 1]]","[[2, 8], [2, 5]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight286,1,"[0, 0]","[[6, 11], [10, 25]]","[54.0, 40.0]","[[8, 14], [10, 25]]","[[2, 2], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 0]","[52, 0]","[[4, 9], [5, 20]]","[[0, 0], [0, 0]]","[[2, 2], [5, 5]]","[[6, 11], [10, 25]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight299,1,"[0, 0]","[[20, 40], [3, 9]]","[50.0, 33.0]","[[39, 64], [4, 11]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 0]","[215, 0]","[[18, 37], [2, 7]]","[[0, 1], [0, 0]]","[[2, 2], [1, 2]]","[[2, 4], [1, 7]]","[[0, 0], [0, 0]]","[[18, 36], [2, 2]]",,Submission
fight302,1,"[0, 0]","[[3, 8], [6, 15]]","[37.0, 40.0]","[[8, 15], [8, 19]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 1]","[0, 0]","[93, 0]","[[1, 5], [0, 7]]","[[1, 1], [1, 2]]","[[1, 2], [5, 6]]","[[2, 5], [6, 14]]","[[0, 0], [0, 1]]","[[1, 3], [0, 0]]",,Submission
fight304,1,"[0, 0]","[[1, 2], [0, 1]]","[50.0, 0.0]","[[1, 2], [1, 2]]","[[0, 0], [1, 1]]","[0.0, 100.0]","[0, 1]","[0, 0]","[0, 47]","[[0, 1], [0, 0]]","[[0, 0], [0, 0]]","[[1, 1], [0, 1]]","[[1, 2], [0, 1]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
