fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight20,1,"[0, 0]","[[20, 24], [7, 13]]","[83.0, 53.0]","[[39, 44], [16, 23]]","[[0, 0], [1, 1]]","[0.0, 100.0]","[0, 0]","[0, 0]","[4, 68]","[[15, 19], [1, 6]]","[[4, 4], [2, 3]]","[[1, 1], [4, 4]]","[[12, 16], [7, 12]]","[[8, 8], [0, 1]]","[[0, 0], [0, 0]]",,KO/TKO
fight24,1,"[0, 2]","[[20, 43], [31, 58]]","[46.0, 53.0]","[[20, 43], [36, 63]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[20, 38]","[[9, 30], [25, 46]]","[[10, 10], [3, 4]]","[[1, 3], [3, 8]]","[[12, 35], [11, 25]]","[[8, 8], [4, 4]]","[[0, 0], [16, 29]]",,KO/TKO
fight27,1,"[0, 1]","[[4, 18], [37, 63]]","[22.0, 58.0]","[[4, 18], [37, 63]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 9]","[[2, 15], [21, 44]]","[[0, 1], [6, 9]]","[[2, 2], [10, 10]]","[[4, 18], [29, 49]]","[[0, 0], [0, 0]]","[[0, 0], [8, 14]]",,KO/TKO
fight29,1,"[1, 0]","[[18, 26], [33, 64]]","[69.0, 51.0]","[[20, 29], [41, 72]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[48, 2]","[[6, 12], [14, 38]]","[[7, 9], [13, 20]]","[[5, 5], [6, 6]]","[[16, 23], [29, 58]]","[[1, 1], [0, 1]]","[[1, 2], [4, 5]]",,KO/TKO
fight31,1,"[0, 1]","[[5, 18], [5, 12]]","[27.0, 41.0]","[[5, 18], [5, 12]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 3]","[[3, 16], [3, 8]]","[[2, 2], [1, 2]]","[[0, 0], [1, 2]]","[[3, 16], [4, 10]]","[[2, 2], [1, 2]]","[[0, 0], [0, 0]]",,KO/TKO
fight32,1,"[1, 0]","[[25, 40], [14, 38]]","[62.0, 36.0]","[[25, 40], [14, 38]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[4, 0]","[[21, 35], [7, 28]]","[[0, 1], [4, 6]]","[[4, 4], [3, 4]]","[[22, 37], [14, 38]]","[[1, 1], [0, 0]]","[[2, 2], [0, 0]]",,KO/TKO
fight35,1,"[1, 0]","[[40, 68], [17, 45]]","[58.0, 37.0]","[[40, 69], [18, 46]]","[[0, 0], [0, 1]]","[0.0, 0.0]","[0, 0]","[0, 0]","[15, 10]","[[26, 53], [7, 31]]","[[8, 9], [3, 7]]","[[6, 6], [7, 7]]","[[33, 56], [16, 44]]","[[7, 12], [1, 1]]","[[0, 0], [0, 0]]",,KO/TKO
fight38,1,"[1, 0]","[[60, 91], [36, 75]]","[65.0, 48.0]","[[63, 95], [36, 77]]","[[2, 3], [0, 0]]","[66.0, 0.0]","[0, 0]","[0, 0]","[27, 26]","[[38, 66], [15, 49]]","[[21, 23], [10, 14]]","[[1, 2], [11, 12]]","[[54, 84], [34, 72]]","[[2, 2], [2, 3]]","[[4, 5], [0, 0]]",,KO/TKO
fight40,1,"[1, 0]","[[21, 40], [12, 20]]","[52.0, 60.0]","[[21, 40], [12, 20]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[9, 0]","[[19, 35], [5, 13]]","[[2, 5], [5, 5]]","[[0, 0], [2, 2]]","[[8, 19], [11, 18]]","[[0, 1], [1, 2]]","[[13, 20], [0, 0]]",,KO/TKO
fight41,1,"[2, 0]","[[16, 29], [8, 23]]","[55.0, 34.0]","[[18, 31], [8, 23]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[5, 0]","[[14, 27], [3, 16]]","[[2, 2], [2, 4]]","[[0, 0], [3, 3]]","[[4, 13], [8, 23]]","[[6, 8], [0, 0]]","[[6, 8], [0, 0]]",,KO/TKO
